example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct
0	0	▁Elles	0.0921355113387107	0.4565145075321197	-0.3643789887428283	2.3088314533233643	0.851588785648346	0.0	1.0	0.0	1.0	0.2743732333183288	1.0	0.9101322889328004	2.0	0.8979923725128174	4.0	0.0	7.093966814863961e-06	4.826848908123793e-06	3.142917557852343e-05	4.025596354040317e-05	0.0007557921344414	0.2316547781229019	0.1882612258195877	0.3667133152484894	0.2133706659078598	0.0	0	1	1
0	1	▁sont	0.98034930229187	0.9663858413696288	0.0139634609222412	-0.0206965077668428	0.0167546793818473	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0067260633222758	0.0042139263823628	0.006561751011759	0.0092903524637222	0.0072147361934185	0.2964150905609131	0.1678265035152435	0.2115188986063003	0.1137299984693527	0.2105095386505127	0	0	1
0	2	▁à	0.8295191526412964	0.8786471486091614	-0.0491279959678649	0.0830086022615432	0.0844360068440437	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.013137113302946	2.0	0.0	0.0039140228182077	0.0055459151044487	0.0032189562916755	0.0060171363875269	0.0124200722202658	0.1918514519929886	0.1264229863882064	0.3002415299415588	0.1258926540613174	0.2555914521217346	0	0	1
0	3	▁l	0.938474178314209	0.9624829888343812	-0.0240088105201721	0.0364439971745014	0.009465692564845	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0005833504255861	0.0023231715895235	0.0027312126476317	0.0030603648629039	0.0035380497574806	0.180192768573761	0.079068973660469	0.2603616714477539	0.1220777332782745	0.3582988679409027	0	0	1
0	4	'	0.9953985810279846	0.9941139817237854	0.0012845993041992	-0.0018630884587764	0.0002118601114489	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0007461250061169	0.0008951584459282	0.0038870617281645	0.0027403305284678	0.0011352549772709	0.1930329650640487	0.0964012518525123	0.2364612966775894	0.1073530539870262	0.366751492023468	0	0	1
0	5	hôtel	0.974276602268219	0.9762401580810548	-0.0019635558128356	0.0029046994168311	0.0030842765700072	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0010871244594454	0.0005782323423773	0.0046611344441771	0.010101905092597	0.0041882176883518	0.1072998270392417	0.0608130171895027	0.3193262815475464	0.0964123085141182	0.4161485433578491	0	0	1
0	6	?	0.128530740737915	0.1325364857912063	-0.0040057450532913	0.0442761369049549	0.0011612172238528	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	5.9827929362654686e-05	2.0	0.0	0.0008241013856604	0.0013518147170543	0.0010999907972291	0.0018817600794136	0.0032644001767039	0.0990845263004303	0.0941166132688522	0.1567299515008926	0.0817069932818412	0.5683619976043701	0	0	1
0	7	</s>	0.9900956153869628	0.9851357340812684	0.0049598813056945	-0.0072452914901077	0.0032408547122031	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0018601933261379	0.0015561392065137	0.0007994803017936	0.0006252306047827	0.0006257079076021	0.1624967902898788	0.1238372921943664	0.1145708858966827	0.0765049383044242	0.5225900411605835	0	0	1
1	0	▁-	0.7858003377914429	0.9042953252792358	-0.1184949874877929	0.202631264925003	0.0745332241058349	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.069575734436512	2.0	0.0	6.745656719431281e-06	2.795125328702852e-05	4.248218101565726e-05	5.0566959544084966e-05	0.0003890885272994	0.1430691331624984	0.2282745391130447	0.4686756432056427	0.1599807292222976	0.0	0	0	0
1	1	▁Quelle	0.659726083278656	0.444689393043518	0.2150366902351379	-0.5690691471099854	0.1246139034628868	0.0	1.0	0.0	1.0	0.1380654126405716	1.0	0.1280651539564132	2.0	0.1179278716444969	5.0	0.0	0.001394537044689	0.0035861572250723	0.0063279992900788	0.0038947386201471	0.0052631366997957	0.1831700354814529	0.0948513001203537	0.4950740337371826	0.1177006363868713	0.1092040091753006	0	0	0
1	2	▁tension	0.9408388733863832	0.9507689476013184	-0.0099300742149353	0.0151471551507711	0.0077095823362469	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003462625900283	0.001273124711588	0.0016011511906981	0.0024693505838513	0.0053454441949725	0.0964894741773605	0.0489471107721328	0.641035795211792	0.1007003188133239	0.1128273382782936	0	0	0
1	3	▁ont	0.1763253509998321	0.4782857000827789	-0.3019603490829468	1.439632773399353	0.4002298712730407	0.0	1.0	0.1273041665554046	2.0	0.1863554567098617	5.0	0.3220551311969757	14.0	0.3872249722480774	181.0	0.0	0.0015689183492213	0.0010414693970233	0.0041381851769983	0.0031851809471845	0.0064028943888843	0.1305576115846634	0.0783637538552284	0.4634645879268646	0.1075296550989151	0.2200843691825866	0	0	0
1	4	-	0.9969918727874756	0.9963983297348022	0.0005935430526733	-0.0008591414080001	0.0003476302954368	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0004693369264714	0.0013476125895977	0.0034794262610375	0.0019615180790424	0.0053185163997113	0.0844260901212692	0.0635776668787002	0.212164893746376	0.0732112824916839	0.5666201710700989	0	0	0
1	5	ils	0.8882423639297485	0.9524329900741576	-0.0641906261444091	0.1006641909480094	0.0352484881877899	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.035009354352951	2.0	0.0	0.0003403819573577	0.000647077569738	0.0008731611305847	0.0010891419369727	0.0025836436543613	0.5144781470298767	0.1083866357803344	0.112292431294918	0.0822905153036117	0.182552307844162	0	1	0
1	6	▁tenu	0.2505157887935638	0.2218537926673889	0.0286619961261749	-0.1752923280000686	0.125942051410675	0.0	1.0	0.0162964966148138	2.0	0.0576900467276573	5.0	0.1044008806347847	26.0	0.1203202083706855	1213.0	0.0	0.0005365463439375	0.0015457503031939	0.0038565446157008	0.0057046990841627	0.0031850836239755	0.1025039106607437	0.0702786743640899	0.2976589500904083	0.0756706073880195	0.4538879096508026	0	0	0
1	7	?	0.3548943698406219	0.3500437140464782	0.0048506557941436	-0.0198545306921005	0.0026845508255064	0.0	1.0	0.0	1.0	0.0	1.0	1.260591670870781e-05	2.0	1.260591670870781e-05	2.0	0.0	0.0004291487857699	0.0025400861632078	0.0050761988386511	0.0050649279728531	0.0046382155269384	0.0720017701387405	0.070563293993473	0.1470104157924652	0.0496063940227031	0.6608179807662964	0	0	0
1	8	</s>	0.9874663949012756	0.9874825477600098	-1.615285873413086e-05	2.3561815396533348e-05	0.0002192420070059	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0009014337556436	0.0011737125460058	0.0036903666332364	0.0026297559961676	0.0021893098019063	0.0945088118314743	0.1458238661289215	0.134504035115242	0.0583645701408386	0.5667986869812012	0	0	0
