example_idx	token_idx	token	probability	contrast_prob	pcxmi	kl_divergence	is_supporting_context	is_context_sensitive	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_curr_attr	is_correct
0	0	▁Elles	0.0921355113387107	0.4565145075321197	2.3088314533233643	0.851588785648346	0	1	0.0	1.0	0.0	1.0	0.2743732333183288	1.0	0.9101322889328004	2.0	0.8979923725128174	4.0	0.0	7.093966814863961e-06	4.826848908123793e-06	3.142917557852343e-05	4.025596354040317e-05	0.0007557921344414	0.2316547781229019	0.1882612258195877	0.3667133152484894	0.2133706659078598	0.0	1
0	1	▁sont	0.98034930229187	0.9663858413696288	-0.0206965077668428	0.0167546793818473	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0067260633222758	0.0042139263823628	0.006561751011759	0.0092903524637222	0.0072147361934185	0.2964150905609131	0.1678265035152435	0.2115188986063003	0.1137299984693527	0.2105095386505127	1
0	2	▁à	0.8295191526412964	0.8786471486091614	0.0830086022615432	0.0844360068440437	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.013137113302946	2.0	0.0	0.0039140228182077	0.0055459151044487	0.0032189562916755	0.0060171363875269	0.0124200722202658	0.1918514519929886	0.1264229863882064	0.3002415299415588	0.1258926540613174	0.2555914521217346	1
0	3	▁l	0.938474178314209	0.9624829888343812	0.0364439971745014	0.009465692564845	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0005833504255861	0.0023231715895235	0.0027312126476317	0.0030603648629039	0.0035380497574806	0.180192768573761	0.079068973660469	0.2603616714477539	0.1220777332782745	0.3582988679409027	1
0	4	'	0.9953985810279846	0.9941139817237854	-0.0018630884587764	0.0002118601114489	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0007461250061169	0.0008951584459282	0.0038870617281645	0.0027403305284678	0.0011352549772709	0.1930329650640487	0.0964012518525123	0.2364612966775894	0.1073530539870262	0.366751492023468	1
0	5	hôtel	0.974276602268219	0.9762401580810548	0.0029046994168311	0.0030842765700072	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0010871244594454	0.0005782323423773	0.0046611344441771	0.010101905092597	0.0041882176883518	0.1072998270392417	0.0608130171895027	0.3193262815475464	0.0964123085141182	0.4161485433578491	1
0	6	?	0.128530740737915	0.1325364857912063	0.0442761369049549	0.0011612172238528	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	5.9827929362654686e-05	2.0	0.0	0.0008241013856604	0.0013518147170543	0.0010999907972291	0.0018817600794136	0.0032644001767039	0.0990845263004303	0.0941166132688522	0.1567299515008926	0.0817069932818412	0.5683619976043701	1
0	7	</s>	0.9900956153869628	0.9851357340812684	-0.0072452914901077	0.0032408547122031	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0018601933261379	0.0015561392065137	0.0007994803017936	0.0006252306047827	0.0006257079076021	0.1624967902898788	0.1238372921943664	0.1145708858966827	0.0765049383044242	0.5225900411605835	1
1	0	▁-	0.7858003377914429	0.9042953252792358	0.202631264925003	0.0745332241058349	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.069575734436512	2.0	0.0	6.745656719431281e-06	2.795125328702852e-05	4.248218101565726e-05	5.0566959544084966e-05	0.0003890885272994	0.1430691331624984	0.2282745391130447	0.4686756432056427	0.1599807292222976	0.0	0
1	1	▁Quelle	0.659726083278656	0.444689393043518	-0.5690691471099854	0.1246139034628868	0	0	0.0	1.0	0.0	1.0	0.1380654126405716	1.0	0.1280651539564132	2.0	0.1179278716444969	5.0	0.0	0.001394537044689	0.0035861572250723	0.0063279992900788	0.0038947386201471	0.0052631366997957	0.1831700354814529	0.0948513001203537	0.4950740337371826	0.1177006363868713	0.1092040091753006	0
