example_idx	token_idx	token	probability	contrast_prob	pcxmi	kl_divergence	is_supporting_context	is_context_sensitive	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_curr_attr	is_correct
0	0	▁Elles	0.13414067029953	0.8477728366851807	2.659930944442749	1.830519437789917	0	1	1.5444775819778442	1.0	1.5444775819778442	1.0	1.5444775819778442	1.0	1.956181526184082	2.0	1.906510591506958	5.0	0.0	2.7338510335539468e-05	0.0003950628160964	0.0001649105397518	0.0009909492218866	0.0184453129768371	0.2836878299713135	0.2119473963975906	0.4024174511432647	0.1019473448395729	0.0	1
0	1	▁sont	0.8288428783416748	0.7636474967002869	-0.1181917712092399	0.0307538583874702	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0203832164406776	2.0	0.0	0.0070621985942125	0.0127459801733493	0.0428498983383178	0.0826703086495399	0.0067231631837785	0.2133814096450805	0.2424927502870559	0.2820443511009216	0.102018117904663	0.1600632965564727	1
0	2	▁à	0.7772812843322754	0.8915824890136719	0.1979314684867859	0.0633397549390792	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0406575351953506	2.0	0.0	0.0003539531026035	0.0107372123748064	0.0192111246287822	0.025576988235116	0.1838824450969696	0.1490072757005691	0.1128217205405235	0.3428831994533539	0.0893984735012054	0.3058892488479614	1
0	3	▁l	0.9918757677078248	0.99391371011734	0.0029611382633447	0.0010249790502712	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001892949221655	0.0071613136678934	0.012261452153325	0.0150165297091007	0.0003582270583137	0.1267529428005218	0.1201093718409538	0.4082999229431152	0.0669492855668068	0.2778885066509247	1
0	4	'	0.9969242215156556	0.9984751343727112	0.0022426762152463	0.0009398643160238	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.1875046766363084e-05	0.0089339902624487	0.0062973359599709	0.0031791441142559	0.0005255684955045	0.139548122882843	0.0877241864800453	0.1532672196626663	0.030871832743287	0.588588535785675	1
0	5	hôtel	0.9300975799560548	0.956184983253479	0.0399076268076896	0.0070898039266467	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0025034761056303	0.0072108968161046	0.011350973509252	0.0206610895693302	0.0326502099633216	0.1750594228506088	0.0890300199389457	0.2304413914680481	0.0395074337720871	0.4659616947174072	1
0	6	?	0.1939663887023925	0.186077743768692	-0.0599012374877929	0.0005947509780526	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0002118153497576	2.0	0.0	2.283731009811163e-05	0.007420496083796	0.0214807875454425	0.0615966767072677	0.0002027926966547	0.0911144241690635	0.0824202895164489	0.1318249553442001	0.0363318957388401	0.6583083868026733	1
0	7	</s>	0.9954094290733336	0.9948070645332336	-0.0008732355199754	0.0006144551443867	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003093138802796	0.0151278898119926	0.012115616351366	0.0131897162646055	5.2986855735071e-05	0.0855954140424728	0.0935091227293014	0.1132287085056305	0.0384396277368068	0.6692270636558533	1
1	0	▁-	0.7191534042358398	0.6303450465202332	-0.1901577413082122	0.0415163859724998	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.0087517462670803	1.0	0.034279428422451	2.0	0.0	7.543421816080809e-05	0.0005378082860261	0.0003891999949701	0.0008960927370935	0.0067016608081758	0.2466680854558944	0.2508511841297149	0.4268504977226257	0.0756302922964096	0.0	0
1	1	▁Quelle	0.6474000811576843	0.5108190178871155	-0.3418453633785248	0.1148017197847366	0	0	0.0	1.0	0.0	1.0	0.0	1.0	0.1143609434366226	2.0	0.1148170605301857	7.0	0.0	5.314643203746528e-05	0.0374903306365013	0.0410848967730999	0.0296051166951656	0.053868506103754	0.1640955507755279	0.1507074683904647	0.5239335298538208	0.0818126276135444	0.0794508084654808	0
